POId,Site Name,SiteId,MR-Volume(KWh),D-REC Volume(KWh),%Tokenized
88079,Jalalpur 2,56909365-ceb7-4729-ac5d-4334ab9a2732,47136,47136,1
88079,Harraiya,524cd4e5-9547-46a3-ba76-f19a5a367628,26928,26928,1
88079,Gopiganj,e56c2ef1-f7f1-4f68-87c9-216469e293bb,26762,26762,1
96570SME,Jalil,7f182e4f-dd5c-4cd1-bc4f-5ef58ca98b46,17601.1001,17118.8,0.9725982979893399
96570SME,Kuldeep Harpalpur,eb1adab5-f21a-4cac-9dcc-8c75d419fb35,17189.800100000004,16485.9,0.9590512922834977
58172a,AKT Noble Cause Volunteers Trust College,22f43c1b-dedb-4592-9d64-9d1b8d6837e4,14380.470199939999,8778.45,0.6104424874811554
37757a,LN000441,d967a0ba-b574-4990-8adf-91a040ffd06f,9387.3002,9386.9,0.9999573679341799
37757a,LN000251,71d7404b-da88-4a8d-a174-60120cbee682,6693.800200000001,6693.8,0.9999999701216059
37757a,LN000336,a79e5cd6-838a-4c6a-a5e1-e41e9d322938,8763.500199999999,8760,0.999600593379344
96570SME,Amar Singh,f38d48e7-c45a-4b85-a0a4-c3ff5b40e2c9,14568.710099999998,13925.61,0.9558574440986373
96570SME,Avnish,be0ea79e-89bc-481a-916d-ef36516a0af7,9449.9201,9039.52,0.9565710507965035
96570SME,Musheer Ahmad,b3bdd1df-8058-41ac-98c0-34d3c2a053a0,14284.3001,13755.9,0.963008331083719
96570SME,Suraj rathour,15550c2b-7f05-46b6-ae29-dfef795c3248,13902.900100000003,13377.3,0.9621949308259791
96570SME,Sher bahadur,df4b4d9d-34c7-4d1e-8db0-45b8c71421ad,8621.500100000001,8235.9,0.9552745931070628
96570SME,Surendra,c14866fc-b852-4949-b4f7-c3b120369399,11382.500099999996,10917.6,0.9591565916173376
96570SME,RamPrakash,025b7cf0-fcc8-4902-937b-1f26c42e7acd,7574.0001,7254.9,0.9578690129671374
88079,Mansi,9f2a4c47-f91a-496f-9368-2c5e50cd3b5f,12832,12831.998,0.9999998441396508
88079,Beldaur,d3c8b323-319d-44e4-b487-1a5d0d547712,7810.000000000002,7810.002,1.000000256081946
