SiteId,CMRId,Token#,CertStartDt,CertEndDt,IsTokenized,IR Snt to Evident,Volume(Wh)
a889c153-8a38-4022-a0e9-06122278d2ef,0343ee46-9edd-4c51-b03f-c3ba38be5469,,,,true,,
abac67f7-523c-40bd-be0c-2ba20158d8d8,ddb7c1dc-90b5-4a0c-80ef-93612132563e,,,,true,,
d967a0ba-b574-4990-8adf-91a040ffd06f,,,,,,,
c2cc7c29-df60-4dc8-afa7-07e5761e2b05,,,,,,,
8f6ab8cb-f54b-4e1f-b3b3-4fd077b2061e,,,,,,,
66baa0a8-16b8-45af-9aeb-cd586035df8f,177bbbd2-7f22-4646-99fe-a63f0b25051b,,,,true,,
f27bd091-349c-4368-b010-6cfdf48ec744,,,,,false,,
31bd5110-a80e-4531-8b7e-e1cc3155bfcf,841143ce-f32e-4959-afc8-3e674b56c322,,,,true,,
6a08e4c2-6916-418a-a120-a7a80f34490e,5c6db3bb-f55c-420d-829b-b07b49840f9e,,,,true,,
930ca6e8-7878-4616-9713-e0d324898b12,fc08c7a8-bf3a-4e55-99bf-9ca792343dce,,,,true,,
5b1dd1e4-1a5c-4617-a1ce-9733788df0ab,,,,,,,
b347fc93-1d46-4696-8508-52fceff72383,00ee6cb2-5fd7-41d5-b41f-18097b7a1f99,,,,true,,
8fd66599-3ce3-401f-a98e-81ddf6d91e21,d2b355c5-7f39-42f7-ac15-0e773b79a5bc,,,,true,,
c7ec5ec8-e209-4a5b-8ded-655a1085152e,,,,,,,
638f76a7-8570-4288-8001-29dee8d75600,,,,,,,
74339756-7cb6-4527-8b02-3fe52cd3c714,,,,,,,
74339756-7cb6-4527-8b02-3fe52cd3c714,fe27881a-8521-4a66-97a8-96c701495474,,,,true,,
db488ea9-6332-40ab-a020-7aa1d9e32568,,,,,,,
064e7ca1-3026-4537-a47e-b15f6f2f4c00,,,,,,,
70c5e156-6647-4e56-bfbc-af815ca226a2,,,,,,,
a889c153-8a38-4022-a0e9-06122278d2ef,,,,,,,
c07d3b3b-292b-4f94-8358-77d096d4cec4,aecc427e-4572-4e0c-b968-201faf99ef23,,,,true,,
ccc49974-ad85-401e-8b95-bdc488133f77,e1eef522-6b6c-4675-91cf-f15329813b89,,,,true,,
ecd6b3f3-e2a5-428e-99aa-9fb0e074a1dd,,,,,,,
b04c5d09-fc0c-43e0-bdc4-1e0b70d152db,32256c2d-73e7-41f9-ab5e-edd6e5876318,,,,true,,
bc525b89-6edf-43cb-bba0-238b270f60a3,60cd8707-e956-485a-ab3c-d5803ae89ef6,,,,true,,
5311c51f-5540-4746-accb-69333575d08d,bdbb976d-b0d3-4447-953a-1292a0f6c384,,,,true,,
d80bb3a4-dcf6-433e-8292-e8004c7830d4,,,,,false,,
9272c50c-3581-4bd8-aba2-5622048cb4b6,19321077-8a29-4c4e-b7a6-de2158203796,,,,true,,
4d82e396-b471-4fa8-946a-2e883b50a403,2b62cf19-c455-450e-b443-d44f12d33129,,,,true,,
05b87e03-51fb-4667-ab5f-be459970be07,,,,,,,
be2472ca-89d6-44c2-b094-cd3ae2833bef,,,,,,,
f27bd091-349c-4368-b010-6cfdf48ec744,872d2913-822d-4dd4-9b2d-005f57d1f4b1,,,,true,,
8d5707c0-55a9-4962-ae82-b708e8ce0ddd,834d1f7f-8e86-4f19-8e3e-e4df28f04258,,,,true,,
83568bdd-37f9-4944-97e4-9c710e4797a6,c947d660-4332-4ff9-a984-0f59dc869b75,,,,true,,
c8ba71c7-86ae-41a3-a9dc-17c7ca429b36,,,,,,,
9ee6f080-9562-4fdf-abd5-e9e19fa283ea,00d8c141-cd33-41cd-b941-f54b82ea4cdf,,,,true,,
3b5ef2c0-b475-423a-8973-4178745923de,a925214f-ac73-4233-853c-363a7f186226,,,,true,,
